symbol,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,USDJPY,USDJPY,USDJPY,USDJPY,USDJPY,USDJPY,GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,NZDUSD,NZDUSD,NZDUSD,NZDUSD,NZDUSD,NZDUSD
window,8,16,32,64,128,256,8,16,32,64,128,256,8,16,32,64,128,256,8,16,32,64,128,256,8,16,32,64,128,256,8,16,32,64,128,256,8,16,32,64,128,256
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-16,0.06255953227560627,,0.05416539680475459,,,,,,,0.6240969025792368,,,,,,,,,,0.08612919255548881,,0.0026186667033791934,,,,,,,,,,,0.003681117754212432,,,,,,,,,
2008-12-18,-0.06982693368259829,-0.0670459225227768,-0.0744594227740584,-0.049834553490350604,,,,-0.048448282545685964,,-0.038073694643908876,,,,,,,,,,-0.0727399587935248,-0.05389502277293319,-0.008369877163468072,,,,,-0.0032920170493152996,-0.007041441653186051,,,,,-0.00684201253804528,0.007723344727966614,,,,,-0.004042804053074058,-6.330923134107345e-05,,
2009-07-21,0.004765606322038161,,-0.0014873806569890955,,,,,,,-0.16531151320824675,,,,,,,,,,,-0.0013611220377241675,,,,,,-0.0023753434535318486,,,,,,,,,,,,,-0.0023411138974047236,,
2020-03-09,-0.0025081352052513726,-0.013044052035553227,-0.007243556153004646,0.002325930760491211,,,,,,-0.1332427925614311,,,,,,,,,-0.0008689755414545843,,,-3.990490608735674e-05,,,,,-0.0013240252662695688,0.014028402039637844,,,,,,,,,,,0.00027358125186168836,0.004769657469471845,,
2020-03-29,-0.01134316694137323,0.009312500362331454,,0.0029548685588321457,,,,,,,,,,,,,,,,,,,,,,,,-0.013703101106617816,,,,,0.03383396318514707,0.04287003063338533,,,,,,0.001700860827056893,,
2020-06-05,-0.00019023249156880493,,,-0.0001383363263082249,,,,,,,,,,,,,,,,,-0.0004131286149709117,0.0003744540935122227,,,,,-6.630017817449954e-06,0.0017839825625352143,,,,,,-0.0004314664209052048,,,,,0.0009128877369632402,0.0029771480048863272,,
2021-04-09,-0.000745537802693971,,0.000277409598226681,,,,,,0.028917735434779036,-0.3081378665545372,,,,,,,,,,,-0.001585681563206816,,,,,,,,,,,,,,,,,,,-0.0004788347193920307,,
2022-02-06,-0.004184475888477045,,0.0004763481844645465,,,,,,,,,,,,,,,,,,,,,,,,-0.002535902506629063,-0.0006443727118465259,,,,,,-0.00022198713402081386,,,,,-0.0012169715273945454,,,
2022-02-07,0.0007863644936254344,,-7.118543491521242e-05,0.00033731264467784164,,,,,,,,,,,,,,,,,,,,,,,-0.004090776180664809,-0.00080588229170517,,,,,3.567123065119781e-06,4.5078626077077114e-07,,,,,-0.0014447518801082152,,,
2022-03-07,-0.003944628809962382,,,,,,,,,,,,,,,,,,,,,0.0002500427515122551,,,,,,,,,,,,-0.005816144497151842,,,,,-0.0004376402637441185,-0.00043943772814435643,,
2022-11-13,0.0019199473864824593,,,0.0013629407314879928,,,,,,,,,,,,,,,,,,-0.0013157883656421683,,,,,,-0.0014907868254615624,,,,,,0.006004754400586485,,,,,0.0027468866374911706,,,
2022-11-14,0.004145172632848828,,,0.003946464783215525,,,,,,,,,,,,,,,-0.0034762397332948575,,,0.0006944359611682981,,,,,,-0.004738400838494859,,,,,,-0.0011602504872828285,,,,,0.008028066641107317,,,
2023-03-16,0.0008965159676780077,,,-0.002753254755173451,,,,,,,,,,,-0.0005507541222164111,,,,,,,,,,,,0.0021052452332601043,,,,,-0.0010339794271655948,0.00303668733119471,0.0017690838623975755,,,,,,-0.0028287015891551043,,
2023-03-17,0.0002736381726319602,,-0.00025707982666467417,,,,,,,,,,,,-0.00015425464875464423,,,,,,,,,,,,,,,,,,0.00023802494778147297,0.00014697891217791605,,,,,,0.0015593956327852648,,
2023-03-19,0.0017414126840113525,,-0.0015173205427796085,,,,,,,,,,,,-6.227267035474963e-05,,,,,,0.000762738964219106,,,,,,,,,,,,-0.0024761853393434085,-0.0016907580785490049,,,,,,0.004689971113195848,,
2023-03-24,0.0005780220137746999,,,,,,,,,,,,,,0.001068538808506732,,,,,,0.00020380374070640847,-0.0010819708154725027,,,,,,,,,,,-0.0006437533009895236,-0.0008538989747383781,,,,,,-0.0009174453273623283,,
